Protein,RNA,Label
18423684,AthlncRNA102,1
22328551,AthlncRNA102,1
15237716,AthlncRNA102,1
79326195,AthlncRNA104,1
15234010,AthlncRNA105,1
79320777,AthlncRNA105,1
22328551,AthlncRNA105,1
15224366,AthlncRNA105,1
15224217,AthlncRNA105,1
15223768,AthlncRNA105,1
15218779,AthlncRNA105,1
15227722,AthlncRNA18,1
15223768,AthlncRNA18,1
79320777,AthlncRNA18,1
15224366,AthlncRNA18,1
30680456,AthlncRNA18,1
15229884,AthlncRNA18,1
18398061,AthlncRNA18,1
18423684,AthlncRNA18,1
22328551,AthlncRNA18,1
15218779,AthlncRNA18,1
15224217,AthlncRNA18,1
30678085,AthlncRNA18,1
30694526,AthlncRNA193,1
18410591,AthlncRNA193,1
18423684,AthlncRNA193,1
22328551,AthlncRNA193,1
22330665,AthlncRNA193,1
30678085,AthlncRNA193,1
30680456,AthlncRNA193,1
30682553,AthlncRNA193,1
30694529,AthlncRNA193,1
79320777,AthlncRNA193,1
79326195,AthlncRNA193,1
15241028,AthlncRNA193,1
18398061,AthlncRNA193,1
15223768,AthlncRNA193,1
15218779,AthlncRNA193,1
15224217,AthlncRNA193,1
15224366,AthlncRNA193,1
15226605,AthlncRNA193,1
15227722,AthlncRNA193,1
15228098,AthlncRNA193,1
15229321,AthlncRNA193,1
15229743,AthlncRNA193,1
15229884,AthlncRNA193,1
15234010,AthlncRNA193,1
22328551,AthlncRNA23,1
18398061,AthlncRNA236,1
30694526,AthlncRNA236,1
30680456,AthlncRNA236,1
30678085,AthlncRNA236,1
22328551,AthlncRNA236,1
18410591,AthlncRNA236,1
15229884,AthlncRNA236,1
15229321,AthlncRNA236,1
15227722,AthlncRNA236,1
15224217,AthlncRNA236,1
15223768,AthlncRNA236,1
79326195,AthlncRNA236,1
30694529,AthlncRNA236,1
22328551,AthlncRNA271,1
18398061,AthlncRNA271,1
15229884,AthlncRNA271,1
15240641,AthlncRNA271,1
18410591,AthlncRNA271,1
22329999,AthlncRNA271,1
30694529,AthlncRNA271,1
30680456,AthlncRNA271,1
30694526,AthlncRNA271,1
22329999,AthlncRNA277,1
79326195,AthlncRNA277,1
30694529,AthlncRNA277,1
18410591,AthlncRNA277,1
30680456,AthlncRNA277,1
18423684,AthlncRNA277,1
30694526,AthlncRNA277,1
22328551,AthlncRNA277,1
15229884,AthlncRNA277,1
18398061,AthlncRNA277,1
15229321,AthlncRNA309,1
15229884,AthlncRNA309,1
22328551,AthlncRNA311,1
15218972,AthlncRNA319,1
22328551,AthlncRNA320,1
18398061,AthlncRNA321,1
15229884,AthlncRNA321,1
22328551,AthlncRNA321,1
30680456,AthlncRNA321,1
79326195,AthlncRNA321,1
18423684,AthlncRNA321,1
22328551,AthlncRNA324,1
22328551,AthlncRNA332,1
22328551,AthlncRNA342,1
15237716,AthlncRNA369,1
15240641,AthlncRNA369,1
18400210,AthlncRNA369,1
18410591,AthlncRNA369,1
22329999,AthlncRNA369,1
22330665,AthlncRNA369,1
30678085,AthlncRNA369,1
42572443,AthlncRNA369,1
30682553,AthlncRNA369,1
30694526,AthlncRNA369,1
15232459,AthlncRNA369,1
15229884,AthlncRNA369,1
30694529,AthlncRNA369,1
79326195,AthlncRNA369,1
22328551,AthlncRNA369,1
15229743,AthlncRNA369,1
15221761,AthlncRNA369,1
15223768,AthlncRNA369,1
15227722,AthlncRNA369,1
15229884,AthlncRNA37,1
18398061,AthlncRNA37,1
22328551,AthlncRNA37,1
30680456,AthlncRNA37,1
30680456,AthlncRNA373,1
15229884,AthlncRNA373,1
22328551,AthlncRNA373,1
18398061,AthlncRNA373,1
15234010,AthlncRNA377,1
15241028,AthlncRNA377,1
18410591,AthlncRNA377,1
30678085,AthlncRNA377,1
30694526,AthlncRNA377,1
30694529,AthlncRNA377,1
79320777,AthlncRNA377,1
15229884,AthlncRNA377,1
15224366,AthlncRNA377,1
15218779,AthlncRNA377,1
15223768,AthlncRNA377,1
